FLORACODE,KEY,SOURCE,SURVEYNAME,SIGHTINGDATE,DATEACCURACY,OBSERVER,NUMOBSERVED,MUSEUMHERBMNR,RELIABDESC,AMGZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPRELIABCODE,NSXCODE,SPECIES,FAMILYNAME,COMNAME1,SIGHTINGCOMM,HABITATCOMM,LOCATIONCOMM,RESERVENAME,ISINDIGENOUSFLAG
RVPU96109-167601,RVPU96109-167601,RV,,25/6/14,D,NEW B.D. Bill | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,760015,6193601,-34.36633707,137.8273781,P,Q01572,Acacia hakeoides,LEGUMINOSAE,Hakea Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus gracilis +/- E. brachycalyx . +/- E. phenax ssp. +/- E. socialis ssp. Mallee,Johnson RD 0.7 km WNW of Petersville,,Y
SUP503742-29,SUP503742-29,SU,GRASSLANDS - LWR NORTH,27/10/12,D,GRAHAM K.L. Kate | SHACKLEY A. Adrian | ROSSER L Leanne | MOISE D.M. Dragos,present but not counted,,5-50m,54,299307,6164407,-34.64262,138.81033,Y,Z01079,Petrorhagia dubia,CARYOPHYLLACEAE,Velvet Pink,Recorded as Petrorhagia velutina (NC).,,Site 300m above gully - north facing. Site is approximately 400m west of Allendale Road near Para Woodland gate and dam.,,N
SUP15726-17,SUP15726-17,SU,COASTAL DUNE & CLIFFTOP,15/9/97,D,KENNY S.D. Sue | OPPERMANN A.M. Alison,present but not counted,,51-100m,53,730334,6205259,-34.26833,137.5018,Y,A01508,Pittosporum angustifolium,PITTOSPORACEAE,Native Apricot,,,From car park MAI00101 drive back down road. Drive past gate south from road curve approx 150m walk in due west towards coast. Undulating crest open spaces with Melaleuca clumps.,,Y
RVPU70473-95907,RVPU70473-95907,RV,,2/10/03,D,MASON S.J. Sam | OBST C.S. Chris,present but not counted,,1-10km,54,475697,6140850,-34.87442653,140.7340751,P,Q03384,Callitris verrucosa,CUPRESSACEAE,Scrub Cypress Pine,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata var. incrassata/ E. leptophylla Mallee +/- E. phenax,Kringin RD 13.1 km NNW of Kringin,,Y
SUP17647-70410,SUP17647-70410,SU,SOUTHERN MT LOFTY,16/11/99,D,ARMSTRONG D.M. David | LANG P.J. Peter,present but not counted,,51-100m,54,255702,6066798,-35.51236,138.30623,Y,G01739,Platylobium obtusangulum,LEGUMINOSAE,Holly Flat-pea,,,Site is 100 m down from fenced track end on S side of track. Go into Eucalyptus fasciculosa / E. obliqua Woodland 30 m.,,Y
RVPO92942-419785,RVPO92942-419785,RV,,7/4/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,750184,6203853,-34.27640803,137.7176084,P,E05978,Eucalyptus socialis ssp.,MYRTACEAE,Beaked Red Mallee,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee,Old Boundary RD 4 km WSW of Arthurton,,Y
RVPU39414-43544,RVPU39414-43544,RV,,22/11/00,D,TELFER W.R. Wendy,present but not counted,,501-1000m,54,260929,6306163,-33.35721069,138.4307277,P,A10596,Lomandra sp.,LILIACEAE,Mat-rush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic and native Grassland ( Stipa sp.  Danthonia sp.),Lehmans RD 3.5 km ENE of Georgetown,,Y
OPP567239-2,OPP567239-2,OP,LAKE EYRE BASIN SPRINGS ASSESSMENT,15/10/14,D,GOTCH T. Travis,present but not counted,,0-5m,53,552760,6871382,-28.28253,135.53801,Y,C32017,Tecticornia sp.,CHENOPODIACEAE,Samphire,,Low flat spring on samphire flat.,,,Y
OPP984625-133,OPP984625-133,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,30/3/20,D,PICKETT M.I. Marcus,Present but not counted,,251-500m,54,296150,6126000,-34.98808,138.76659,Y,E01702,Kennedia prostrata,LEGUMINOSAE,Scarlet Runner,,see other comments,Wottons - Jarrett Rd FIMS ID 723 (2.5 km N of Bridgewater),,Y
OPP798525-92,OPP798525-92,OP,BDBSA RESERVES DATABASE,1/5/91,D,HODDER M.W. Mike,present but not counted,,1-10km,54,429491,6046759,-35.72061,140.22042,Y,A20080,Eucalyptus leucoxylon ssp.,MYRTACEAE,South Australian Blue Gum,,,LEWIS : 4 LOT 51 IN D P 26026 OF SEC 5,744 (HA),Y
OPP718004-6,OPP718004-6,OP,RRP RIVER MURRAY WETLAND SURVEYS,8/2/13,D,RRP RIVER MURRAY WETLAND SURVEYS  N,present but not counted,,5-50m,54,368799,6152688,-34.75953,139.56644,Y,M03066,Eclipta platyglossa ssp. platyglossa,COMPOSITAE,Yellow Twin-heads,FUNCTIONAL_GROUP=Tda,,Lake Bywaters;AUSWET=S0001128;ELEVATION_CM=0;DIST_M_=3.3,,Y
OPP799539-26,OPP799539-26,OP,BDBSA RESERVES DATABASE,20/11/77,D,FNS-(SA)  Field Naturalist Society,present but not counted,,1-10km,54,482115,5901513,-37.03241,140.79891,Y,K03101,Chrysocephalum apiculatum (NC),COMPOSITAE,Common Everlasting,,,,Naracoorte Caves (NP),Y
OPP560050-15,OPP560050-15,OP,LOWAN MALLEE LAF FIELDWORK,29/10/14,D,CROFT S.J. Sonia,present but not counted,,251-500m,54,454401,6012767,-36.02855,140.49388,Y,Z01995,Comesperma calymega,POLYGALACEAE,Blue-spike Milkwort,,,|Source ProjectID:20|Source WaypointID:3652|,213 (HA),Y
OPP555976-61,OPP555976-61,OP,UPPER TORRENS LAND MANAGEMENT PROJECT,15/10/12,D,PICKETT M.I. Marcus,present but not counted,,101-250m,54,309400,6142000,-34.84648,138.91532,Y,U04582,Caesia calliantha,LILIACEAE,Blue Grass-lily,,,DCDB Parcel ID F35551 Q2 3.7 km SE of Gumeracha,,Y
SUP23318-179328,SUP23318-179328,SU,MID NORTH AND YORKE PENINSULA,15/10/04,D,CANTY P.D. Peter | TURNER J. Jean,present but not counted,,5-50m,53,729921,6164066,-34.63955,137.5084,Y,G04827,Dianella brevicaulis,LILIACEAE,Short-stem Flax-lily,,,Enter property through gate on northern boundary near edge of coastal Shrubland. Drive south along edge of cleared land for 400 metres. Site is 150 metres west in Acacia cupularis - Olearia axillaris Shrubland.,1354 (HA),Y
RVPO95099-429419,RVPO95099-429419,RV,,9/5/12,D,DICKSON C.R. Cath | CARR C. Chris,present but not counted,,251-500m,54,443886,5929136,-36.7819135,140.3711339,P,U30122,Asparagus asparagoides f. asparagoides,LILIACEAE,Bridal Creeper,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus diversifolia ssp. diversifolia Mallee,Woolumbool RD 4.3 km NNE of Woolumbool,,N
OPP632878-2,OPP632878-2,OP,LOFTY BLOCK EPBC THREATENED ORCHIDS,29/9/15,D,DAVIES R.J-P. Richard,1,,0-10m,54,303498,6155256,-34.7259,138.8539,Y,S00781,Caladenia rigida,ORCHIDACEAE,Stiff White Spider-orchid,Source ID: C. rigida Old Kersbrook Forest_GPS_RD. Original ID: 894,,Old Kersbrook Forest.,Kersbrook (NF),Y
OPP354007-1792427,OPP354007-1792427,OP,KI THREATENED PLANT PROJECT,8/11/05,D,TAYLOR D. David,present but not counted,,0-5m,53,689892,6046772,-35.70471,137.09898,Y,Y01772,Pultenaea villifera var. glabrescens,LEGUMINOSAE,Splendid Bush-pea,PLANTSNUM= 1; SUBPOP= B,,,670 (HA),Y
OPP11348-42,OPP11348-42,OP,OFFSHORE ISLANDS,1/7/68,T,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,101-250m,53,481129,6282171,-33.60004,134.7966,Y,M04790,Senecio pinnatifolius (NC),COMPOSITAE,Variable Groundsel,,,,Waldegrave Islands (CP),Y
SUP15816-24,SUP15816-24,SU,COASTAL DUNE & CLIFFTOP,24/9/97,D,FOTHERINGHAM D.G. Doug | SANDERCOCK R.K. Ron,present but not counted,,5-50m,53,529821,6161693,-34.68633,135.32556,Y,W03811,Apium annuum,UMBELLIFERAE,Annual Celery,,,Site on deflated clifftop dune 20m from cliff edge and 220m at 30 degrees to 3 way intersection.,Coffin Bay (NP),Y
SUP14276-4-AD98723118,SUP14276-4-AD98723118,SU,GAWLER,18/10/85,D,PREECE K.M. Kathy,present but not counted,AD98723118,0-5m,53,662379,6406250,-32.46911,136.72785,Y,S01213,Maireana triptera,CHENOPODIACEAE,Three-wing Bluebush,#Original cover recorded as 60% : ie The percentage of the Lifeform strata that this species represents within the quadrat.# Mostly dead / dying.,,49 km NW from Iron Knob.,,Y
RVPO64211-275380,RVPO64211-275380,RV,,25/11/02,D,PLAYFAIR R.M. Roger | BENNETT F.J. Fiona,present but not counted,,251-500m,53,733706,6340228,-33.0514166,137.5029115,P,Z01935,Euphorbia terracina,EUPHORBIACEAE,False Caper,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia ligulata Open Shrubland,Lincoln HWY 2.6 km WNW of Mullaquana,,N
RVPE35134-1,RVPE35134-1,RV,,31/10/00,D,TELFER W.R. Wendy,present but not counted,,51-100m,54,266589,6345541,-33.00360196,138.5015942,P,C01605,Acacia pycnantha,LEGUMINOSAE,Golden Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic and native Grassland ( Stipa sp.  Danthonia sp.),Caltowie-Tarcowie RD 5.9 km SSW of Tarcowie,,Y
RVPO3192-10030,RVPO3192-10030,RV,,19/12/97,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,101-250m,54,321214,6149552,-34.78056224,139.0460686,P,M20078,Eucalyptus camaldulensis ssp.,MYRTACEAE,River Red Gum,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus camaldulensis woodland with grassy understorey,Ken Hicks RD 0.9 km SSW of Mount Pleasant,,Y
RVPO41402-180279,RVPO41402-180279,RV,,19/3/01,D,WEDDERBURN S.D. Scotte | O'CONNOR P.J. Patrick,present but not counted,,501-1000m,54,342114,6375562,-32.7464741,139.3147607,P,S20257,Myoporum platycarpum ssp.,MYOPORACEAE,False Sandalwood,Collected using the DEWNR Roadside Vegetation Survey Methodology,Myoporum platycarpum Low Open Woodland,Barrier HWY 2.4 km WSW of Paratoo,,Y
RVPO77858-347900,RVPO77858-347900,RV,,29/2/04,D,SUTHERLAND R.L. Robyn | TELFER S. Sarah,present but not counted,,101-250m,54,375879,6224694,-34.1112244,139.654233,P,K05661,Eucalyptus socialis (NC),MYRTACEAE,Beaked Red Mallee,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus socialis  +/ - E. gracilis +/- Myoporum platycarpum Mallee,Morgan - Blanchetown RD 1.7 km WNW of Wombats Rest,,Y
RVPU11061-5634,RVPU11061-5634,RV,,18/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,251-500m,53,569643,6284793,-33.57428336,135.7504071,P,C15065,Gramineae sp.,GRAMINEAE,Grass Family,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus calycogona / E. brachycalyx Mallee,Elliston - Lock RD 1 km SSW of Lock,,Y
OPP825902-1,OPP825902-1,OP,AMLR THREATENED FLORA ECOLOGIST-GENERAL,3/11/17,D,MCKERRAL H. Helen | DAVIS L. Leo | CHESSON C. Claire | CHESSON C. Clive,7,,0-5m,54,291983,6087797,-35.33144,138.71134,Y,A00784,Caleana major,ORCHIDACEAE,Large Duck-orchid,Status = 2F  5B; B  of P. minor at same site.,,Area 4: at site adjacent to Finnis River.,Cox Scrub (CP),Y
RVPO63474-271500,RVPO63474-271500,RV,,4/4/02,D,KUBISCH R.V. Ronald | BATEMAN T.V. Teresa,present but not counted,,501-1000m,54,309261,6188583,-34.42664258,138.9242872,P,A03636,Allocasuarina verticillata,CASUARINACEAE,Drooping Sheoak,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus leucoxylon ssp. Open Woodland,Branson RD 3.4 km NNE of Nain,,Y
OPP178472-1512100,OPP178472-1512100,OP,WAITE CONSERVATION RESERVE,2/9/02,D,BUSHMAN W.H. Waldo,present but not counted,,5-50m,54,284631,6126952,-34.97711,138.64072,Y,G02327,Gonocarpus elatus,HALORAGACEAE,Hill Raspwort,With Lomandra densiflora.,,Waite Conservation Reserve. In Heritage Agreement 1262. Tank Ridge on upper NW-facing slope roughly 50 m ENE of tank.,1262 (HA),Y
SUP17046-44687,SUP17046-44687,SU,NORTH WESTERN EYRE PENINSULA,13/10/99,D,CARRUTHERS S.M. Sandy | KENNY S.D. Sue,present but not counted,,51-100m,53,541674,6299909,-33.43941,135.44835,Y,U32242,Ptilotus spathulatus,AMARANTHACEAE,Pussy-tails,,,From Warramboo  head south for 22.7 km. Take Elliston turn off. At 14.3 km there is main intersection  keep heading west. Note grid across road. Continue for 2.9 km and should reach a second grid. Site is 5 km from first grid or 2.1 km from second grid. Head into site from road and jump fence hea,,Y
OPP549898-6,OPP549898-6,OP,MONARTO RESTORATION PROJECT - SURVEY,1/6/12,M,HORNER B. Briony,present but not counted,,101-250m,54,331607,6113233,-35.10967,139.15227,Y,Q00536,Lepidosperma viscidum,CYPERACEAE,Sticky Sword-sedge,Number observed = 35,,Site 3 - 10.6ha,,Y
OPP799227-24,OPP799227-24,OP,BDBSA RESERVES DATABASE,12/7/90,D,ASHMAN G.W. Glyn | LEHMAN K. Kay,present but not counted,,1-10km,54,418650,6141643,-34.86431,140.10999,Y,A01080,Hibbertia riparia (NC),DILLENIACEAE,Guinea-flower,,**birds** suitable for chestnut quailthrush malleefowlstriped honeyeaterwhite-winged chough crested bellbirdgrey currawongmallee ringneckpurple-gaped honeyeateryellow-rumped pardalotespendid **Environmental Association**36%(Billiatt)**Hundred**5,CHESSON : 5,671 (HA),Y
SUP13306-26-AD99742031,SUP13306-26-AD99742031,SU,SOUTHERN EYRE PENINSULA,12/10/95,D,DAVIDSON L.G. Lee | HEARD L.M.B. Lee,present but not counted,AD99742031,5-50m,53,561088,6237543,-34.00094,135.6615,Y,G02407,Acrotriche cordata,EPACRIDACEAE,Blunt-leaf Ground-berry,,,Travel 800m from intersection.,,Y
OPP673888-1,OPP673888-1,OP,YORKE DISTRICT AERIAL BOXTHORN CONTROL,9/4/15,D,BROWN R.M. Bec (Rebecca) | ANDERSON T. Tim,1,,5-50m,53,720375,6130758,-34.94175,137.41307,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,,,Flaherty''s Corner; Boxthorn control site - aerial application of Graslan herbicide,,N
RVPO3047-13223,RVPO3047-13223,RV,,17/12/97,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,501-1000m,54,323529,6147979,-34.79514067,139.0710255,P,S00229,Dactylis glomerata,GRAMINEAE,Cocksfoot,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed grassland dominated by alien grass species,Mc Gormans RD 3 km NNE of Tungkillo,,N
OPP546891-153,OPP546891-153,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,6/6/12,D,PICKETT M.I. Marcus,present but not counted,,101-250m,54,300500,6158500,-34.69609,138.82195,Y,Z02195,Lythrum hyssopifolia,LYTHRACEAE,Lesser Loosestrife,,,7 km WSW of Williamstown,Para Wirra (CP),Y
RVPO11424-43361,RVPO11424-43361,RV,,20/11/98,D,PLAYFAIR R.M. Roger | PARRY K. Karen,present but not counted,,1-10km,53,767774,6396209,-32.5392115,137.8512435,P,M20166,Salvia verbenaca var.,LABIATAE,Wild Sage,Collected using the DEWNR Roadside Vegetation Survey Methodology,Maireana pyramidata Low Shrubland,Port Augusta - Port Wakefield RD 2.1 km NNE of Port Paterson,,N
RVPO46943-201824,RVPO46943-201824,RV,,14/11/01,D,CLARK P.D. Peter,present but not counted,,101-250m,54,280519,6260899,-33.76929777,138.6299697,P,E01658,Chamaecytisus palmensis,LEGUMINOSAE,Tree Lucerne,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Blockers (86) RD 3.6 km SSE of Barinia,,N
RVPO91383-413119,RVPO91383-413119,RV,,12/3/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,101-250m,53,748573,6221998,-34.11333432,137.6949164,P,C10149,Bromus sp.,GRAMINEAE,Brome,Collected using the DEWNR Roadside Vegetation Survey Methodology,Pittosporum angustifolium +/- A. hakeoides +/- A. ligulata +/- Geijera linearifolia +/- Nitraria billardierei +/- Olearia axillaris Tall Shrubland,Unknown RD 6.2 km WSW of Cunliffe,,Y
RVPO73777-326739,RVPO73777-326739,RV,,12/1/04,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,251-500m,54,265127,6199665,-34.31771041,138.4474179,P,W10147,Brassica sp.,CRUCIFERAE,,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa / E. brachycalyx Mallee,Pinery-Long Plains Road (39) RD 1.3 km WSW of Pinery,,N
OPP800658-53,OPP800658-53,OP,BDBSA RESERVES DATABASE,25/2/87,D,HODDER M.W. Mike | CROFT T.S. Tim,present but not counted,,251-500m,54,430389,5873156,-37.28559,140.2147,Y,A02412,Stenanthera conostephioides,EPACRIDACEAE,Flame Heath,,,Formerly SF3 Konetta NFR,Konetta (NF),Y
SUP27034-218794,SUP27034-218794,SU,EYRE PENINSULA FAUNA,27/9/05,D,CANTY P.D. Peter | LANG P.J. Peter,present but not counted,,5-50m,53,339904,6471691,-31.87932,133.30738,Y,M03250,Olearia muelleri,COMPOSITAE,Mueller's Daisy-bush,,,PP 162. Site approx. 90 m on 268 degrees bearing from WPT CHA11T. Eucalyptus oleosa E. gracilis open mallee over Eremophila. wedii Acacia. merrallii Eremophila glabra and dense Westringia rigida. Digging hard.,619 (HA),Y
RVPU10773-5306,RVPU10773-5306,RV,,18/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,251-500m,53,558886,6283986,-33.58220865,135.6345603,P,Z10303,Danthonia sp. (NC),GRAMINEAE,Wallaby-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa ssp. oleosa Mallee,Elliston - Lock RD 11.4 km WSW of Lock,,Y
OPP693510-1,OPP693510-1,OP,YORKE DISTRICT AERIAL BOXTHORN CONTROL,15/4/16,D,BARR M. Max | ANDERSON T. Tim,Present but not counted,,5-50m,53,677275,6112711,-35.11285,136.94525,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,,,PM''s; Boxthorn control site - aerial application of Graslan herbicide,1309 (HA),N
RVPO91446-413399,RVPO91446-413399,RV,,12/3/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,101-250m,53,749802,6213856,-34.186383,137.7105755,P,K05689,Eucalyptus phenax ssp.,MYRTACEAE,,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus gracilis +/- E. brachycalyx +/- E. incrassata +/- E. oleosa +/- E. phenax +/- E. socialis +/- Callitris gracilis Mallee Woodland,Bowdens RD 4.4 km SSW of Agery,,Y
RVPO86576-392179,RVPO86576-392179,RV,,8/5/08,D,O'NEILL S. Sally | FRAZER D.S. Deb,present but not counted,,251-500m,54,294157,6297283,-33.44412384,138.7855435,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Avena barbata +/-Austrostipa sp. +/-Austrodanthonia sp. +/-Enneapogon sp. Grassland +/-Atriplex sp. Grassland,Willalo RD 0.9 km WSW of Willalo,,Y
OPP55550-1799902,OPP55550-1799902,OP,PAMS - PARK ASSET DATABASE,31/1/02,D,QUARMBY J. Joe,present but not counted,,501-1000m,54,279320,6120263,-35.03624,138.58081,Y,M05274,Scaevola albida,GOODENIACEAE,Pale Fanflower,General Comment= Survey Point 219; Reserve type= RP; Reserve Code= 16; PAMS_PARK_ID= 239; Age class= mature; Braun-Blanquet= 2; Location= central - SA Planning;Location_C= M5; Date_Stamp= 31-Jan-02;,,,Sturt Gorge (RP),Y
SUP10417-47,SUP10417-47,SU,FLINDERS MANAGEMENT REVIEW,9/5/88,D,GREENWOOD G. Graeme | PITTS B. Brenda,present but not counted,,,54,342373,6637478,-30.38439,139.35942,Y,K00445,Cymbopogon ambiguus,GRAMINEAE,Lemon-grass,,,,,Y
RVPO8879-31048,RVPO8879-31048,RV,,10/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,251-500m,53,538262,6212057,-34.23186377,135.4154607,P,S20109,Hordeum vulgare ssp. (NC),GRAMINEAE,,Collected using the DEWNR Roadside Vegetation Survey Methodology,Melaleuca halmaturorum ssp. halmaturorum Shrubland,Flinders HWY 1.6 km SSE of Mount Drummond,,N
RVPO71567-315804,RVPO71567-315804,RV,,30/9/03,D,BIRCHMORE N.J. Neal,present but not counted,,501-1000m,54,278645,6192298,-34.38706197,138.5923131,P,G00207,Bromus diandrus (NC),GRAMINEAE,Great Brome,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed Herbland contains exotic and native spp.,Brady RD 4.7 km SSE of Barabba,,N
OPP800502-42,OPP800502-42,OP,BDBSA RESERVES DATABASE,1/11/86,T,OVERTON B.M. Bev,present but not counted,,1-10km,54,235319,6026818,-35.86714,138.06858,Y,C01349,Hibbertia sericea var. sericea (NC),DILLENIACEAE,Silky Guinea-flower,,,,Lesueur (CP),Y
SUP3910-10,SUP3910-10,SU,MURRAY MALLEE,16/7/90,D,MURFET D.E. Denzel | TAPLIN R.L. Rosemary,present but not counted,,5-50m,54,422272,6068028,-35.52832,140.14267,Y,W03627,Allocasuarina muelleriana ssp. muelleriana,CASUARINACEAE,Common Oak-bush,,,3.5 km SW from One Tree Hill.,464 (HA),Y
OPP427453-31,OPP427453-31,OP,ACRIS BIMBOWRIE BIO MON TRIAL,7/11/12,D,ROBINSON A.C. Tony | TURNER J. Jean,present but not counted,,5-50m,54,423448,6457312,-32.01773,140.1894,Y,Z10371,Eragrostis sp.,GRAMINEAE,Love-grass,,,Bimbowrie Conservation Reserve. Refer to project #716 for location and physical information of this site.,Bimbowrie (CP),Y
OPP472553-1,OPP472553-1,OP,KANGAROO ISLAND WEEDS REGISTER,1/6/09,D,KANGAROO ISLAND - DEWNR K.I. DEWNR,present but not counted,,5-50m,53,723885,6029538,-35.85282,137.47924,Y,E04578,Asparagus declinatus,LILIACEAE,,,,,,N
RVPU88495-143160,RVPU88495-143160,RV,,3/9/08,D,LATTANZIO S Serina | OBST C.S. Chris,present but not counted,,251-500m,54,441762,5981734,-36.30763893,140.3513063,P,S00229,Dactylis glomerata,GRAMINEAE,Cocksfoot,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus camaldulensis Open Woodland,Riddoch Highway HWY 9.4 km NNE of Willalooka,,N
SUP8193-84,SUP8193-84,SU,RARE RODENTS PROJECT,1/12/93,D,BRANDLE R. Robert,present but not counted,,5-50m,54,401564,6747291,-29.3998,139.98546,Y,G01615,Acacia salicina,LEGUMINOSAE,Willow Wattle,,,Montecollina Bore. AMG updated 5/4/05.,,Y
SUP21471-146077,SUP21471-146077,SU,SANDY DESERT,4/5/04,D,MCDONALD J.T. John | THIESSEN J.H. James,present but not counted,,5-50m,52,615007,6746882,-29.40208,130.18534,Y,W01567,Acacia gilesiana,LEGUMINOSAE,Giles' Wattle,,,7.9 km from Tjuntjunjarra - Oak Valley Road intersection heading south towards Cook. Use GPS to locate sites.,,Y
RVPO10549-38880,RVPO10549-38880,RV,,12/11/98,D,HYDE M.K. Michael | MALLEN N. Nigel,present but not counted,,501-1000m,54,257519,6320556,-33.22675751,138.3979675,P,M03382,Callitris gracilis,CUPRESSACEAE,Southern Cypress Pine,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia victoriae Tall shrubland,Warnertown-Jamestown HWY 6.2 km NNE of Gladstone,,Y
SUP15727-2,SUP15727-2,SU,COASTAL DUNE & CLIFFTOP,16/9/97,D,KENNY S.D. Sue | OPPERMANN A.M. Alison,present but not counted,,51-100m,53,729481,6161894,-34.65922,137.50419,Y,M03234,Olearia axillaris,COMPOSITAE,Coast Daisy-bush,,,Drive to Port Rickaby road north of caravan park leads to beach. Along beach for short way. Track back up into sand hills then along coast. First track Y intersection turn east. Continue until gate in south property. Turn west along fence to rough gate. Follow through south and veer west to clearing,,Y
OPP801422-51,OPP801422-51,OP,BDBSA RESERVES DATABASE,20/6/01,D,WINTER S.K. Sybille,present but not counted,,101-250m,54,318972,6171365,-34.58358,139.02626,Y,Z00227,Cynosurus echinatus,GRAMINEAE,Rough Dog's-tail Grass,,,,1270 (HA),N
RVPO43594-189203,RVPO43594-189203,RV,,2/10/01,D,MARCHANT E.K.M. Emily | DEGARIS M.B. Mark,present but not counted,,1-10km,54,487527,5807650,-37.87855486,140.8581727,P,Y00128,Avena fatua,GRAMINEAE,Wild Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology, Grassland dominated by exotic species,Lange RD 2.5 km ESE of Yahl,,N
OPP707060-1,OPP707060-1,OP,BUFFEL GRASS CONTROL IN ARID RANGELANDS,14/5/10,D,RURAL SOLUTIONS - -,present but not counted,,5-50m,53,570350,6575797,-30.94919,135.73651,Y,C05369,Cenchrus ciliaris,GRAMINEAE,Buffel Grass,DENSITY = Low,,,,N
RVPO51080-220396,RVPO51080-220396,RV,,18/12/01,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,51-100m,54,276437,6260798,-33.7693606,138.5859026,P,E11002,Trifolium sp.,LEGUMINOSAE,Clover,Collected using the DEWNR Roadside Vegetation Survey Methodology,Non-endemic Native sp. Plantation,Black Rock - Clare Rd. RD 1.8 km NNW of Stanley Flat,,N
SUP8582-27-AD99445075,SUP8582-27-AD99445075,SU,SOUTH OLARY PLAINS,14/8/91,D,PEACOCK D.E. David | NICOLSON K.P. Kym,present but not counted,AD99445075,5-50m,54,488222,6402178,-32.51764,140.8746,Y,C00177,Rytidosperma setaceum,GRAMINEAE,Small-flower Wallaby-grass,,,0.7 km SW from Black Hill Dam.,,Y
RVPO92599-418223,RVPO92599-418223,RV,,27/3/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,251-500m,53,750670,6208517,-34.23427771,137.7215307,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Austrostipa spp. +/- Austrodanthonia spp. +/- Chloris truncata +/- Enneapogon spp. Native Grassland,Pipeline RD 4.2 km WNW of Arthurton,,N
RVPO18043-74887,RVPO18043-74887,RV,,12/8/99,D,COOLING M.P. Marcus | HOGBEN J.D. Jeremy,present but not counted,,1-10km,54,330774,6182656,-34.48381561,139.1571105,P,Z00755,Romulea rosea var. australis,IRIDACEAE,Common Onion-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus leucoxylon Woodland with grassy or shrub understorey,Mt Karinya RD 1.4 km WSW of Mount Karinya (summit),,N
RVPO68079-297870,RVPO68079-297870,RV,,19/9/03,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,5-50m,54,282546,6123908,-35.00409867,138.6170995,P,Z01847,Vicia sativa ssp. sativa,LEGUMINOSAE,Common Vetch,Collected using the DEWNR Roadside Vegetation Survey Methodology,Non-endemic Native Species Plantation,Bowman Avenue/Yorke Avenue AVE 0.6 km ESE of Sleep Hill (summit),,N
OPP517157-9,OPP517157-9,OP,MURRAY WETL'D ONGOING SAMDB NRMB,5/2/09,D,MASON K.P. Kate | TURNER R.J. Rebecca,present but not counted,,5-50m,54,444814,6199778,-34.34183,140.4,Y,M30074,Lactuca serriola f. serriola,COMPOSITAE,Prickly Lettuce,,,Location is Beldora Wetland River Murray,,N
