"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"11","OPP718004-6","OPP718004-6","OP","RRP RIVER MURRAY WETLAND SURVEYS",2013-02-08,"D","Day","RRP RIVER MURRAY WETLAND SURVEYS  N","present but not counted","","5-50m",54,368799,6152688,-34.75953,139.56644,"verified","Eclipta platyglossa ssp. platyglossa","COMPOSITAE","Yellow Twin-heads","FUNCTIONAL_GROUP=Tda","","Lake Bywaters;AUSWET=S0001128;ELEVATION_CM=0;DIST_M_=3.3","","Y"
"12","OPP799539-26","OPP799539-26","OP","BDBSA RESERVES DATABASE",1977-11-20,"D","Day","FNS-(SA)  Field Naturalist Society","present but not counted","","1-10km",54,482115,5901513,-37.03241,140.79891,"verified","Chrysocephalum apiculatum (NC)","COMPOSITAE","Common Everlasting","","","","Naracoorte Caves (NP)","Y"
"13","OPP560050-15","OPP560050-15","OP","LOWAN MALLEE LAF FIELDWORK",2014-10-29,"D","Day","CROFT S.J. Sonia","present but not counted","","251-500m",54,454401,6012767,-36.02855,140.49388,"verified","Comesperma calymega","POLYGALACEAE","Blue-spike Milkwort","","","|Source ProjectID:20|Source WaypointID:3652|","213 (HA)","Y"
"14","OPP555976-61","OPP555976-61","OP","UPPER TORRENS LAND MANAGEMENT PROJECT",2012-10-15,"D","Day","PICKETT M.I. Marcus","present but not counted","","101-250m",54,309400,6142000,-34.84648,138.91532,"verified","Caesia calliantha","LILIACEAE","Blue Grass-lily","","","DCDB Parcel ID F35551 Q2 3.7 km SE of Gumeracha","","Y"
"15","SUP23318-179328","SUP23318-179328","SU","MID NORTH AND YORKE PENINSULA",2004-10-15,"D","Day","CANTY P.D. Peter | TURNER J. Jean","present but not counted","","5-50m",53,729921,6164066,-34.63955,137.5084,"verified","Dianella brevicaulis","LILIACEAE","Short-stem Flax-lily","","","Enter property through gate on northern boundary near edge of coastal Shrubland. Drive south along edge of cleared land for 400 metres. Site is 150 metres west in Acacia cupularis - Olearia axillaris Shrubland.","1354 (HA)","Y"
"16","RVPO95099-429419","RVPO95099-429419","RV","",2012-05-09,"D","Day","DICKSON C.R. Cath | CARR C. Chris","present but not counted","","251-500m",54,443886,5929136,-36.7819135,140.3711339,"verification required","Asparagus asparagoides f. asparagoides","LILIACEAE","Bridal Creeper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus diversifolia ssp. diversifolia Mallee","Woolumbool RD 4.3 km NNE of Woolumbool","","N"
"17","OPP632878-2","OPP632878-2","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS",2015-09-29,"D","Day","DAVIES R.J-P. Richard","1","","0-10m",54,303498,6155256,-34.7259,138.8539,"verified","Caladenia rigida","ORCHIDACEAE","Stiff White Spider-orchid","Source ID: C. rigida Old Kersbrook Forest_GPS_RD. Original ID: 894","","Old Kersbrook Forest.","Kersbrook (NF)","Y"
"18","OPP354007-1792427","OPP354007-1792427","OP","KI THREATENED PLANT PROJECT",2005-11-08,"D","Day","TAYLOR D. David","present but not counted","","0-5m",53,689892,6046772,-35.70471,137.09898,"verified","Pultenaea villifera var. glabrescens","LEGUMINOSAE","Splendid Bush-pea","PLANTSNUM= 1; SUBPOP= B","","","670 (HA)","Y"
"19","OPP11348-42","OPP11348-42","OP","OFFSHORE ISLANDS",1968-07-01,"T","Decade","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","101-250m",53,481129,6282171,-33.60004,134.7966,"verified","Senecio pinnatifolius (NC)","COMPOSITAE","Variable Groundsel","","","","Waldegrave Islands (CP)","Y"
"20","SUP15816-24","SUP15816-24","SU","COASTAL DUNE & CLIFFTOP",1997-09-24,"D","Day","FOTHERINGHAM D.G. Doug | SANDERCOCK R.K. Ron","present but not counted","","5-50m",53,529821,6161693,-34.68633,135.32556,"verified","Apium annuum","UMBELLIFERAE","Annual Celery","","","Site on deflated clifftop dune 20m from cliff edge and 220m at 30 degrees to 3 way intersection.","Coffin Bay (NP)","Y"
"21","SUP14276-4-AD98723118","SUP14276-4-AD98723118","SU","GAWLER",1985-10-18,"D","Day","PREECE K.M. Kathy","present but not counted","AD98723118","0-5m",53,662379,6406250,-32.46911,136.72785,"verified","Maireana triptera","CHENOPODIACEAE","Three-wing Bluebush","#Original cover recorded as 60% : ie The percentage of the Lifeform strata that this species represents within the quadrat.# Mostly dead / dying.","","49 km NW from Iron Knob.","","Y"
"22","RVPO64211-275380","RVPO64211-275380","RV","",2002-11-25,"D","Day","PLAYFAIR R.M. Roger | BENNETT F.J. Fiona","present but not counted","","251-500m",53,733706,6340228,-33.0514166,137.5029115,"verification required","Euphorbia terracina","EUPHORBIACEAE","False Caper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia ligulata Open Shrubland","Lincoln HWY 2.6 km WNW of Mullaquana","","N"
"23","RVPE35134-1","RVPE35134-1","RV","",2000-10-31,"D","Day","TELFER W.R. Wendy","present but not counted","","51-100m",54,266589,6345541,-33.00360196,138.5015942,"verification required","Acacia pycnantha","LEGUMINOSAE","Golden Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Caltowie-Tarcowie RD 5.9 km SSW of Tarcowie","","Y"
"24","RVPO3192-10030","RVPO3192-10030","RV","",1997-12-19,"D","Day","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","present but not counted","","101-250m",54,321214,6149552,-34.78056224,139.0460686,"verification required","Eucalyptus camaldulensis ssp.","MYRTACEAE","River Red Gum","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis woodland with grassy understorey","Ken Hicks RD 0.9 km SSW of Mount Pleasant","","Y"
"25","RVPO41402-180279","RVPO41402-180279","RV","",2001-03-19,"D","Day","WEDDERBURN S.D. Scotte | O'CONNOR P.J. Patrick","present but not counted","","501-1000m",54,342114,6375562,-32.7464741,139.3147607,"verification required","Myoporum platycarpum ssp.","MYOPORACEAE","False Sandalwood","Collected using the DEWNR Roadside Vegetation Survey Methodology","Myoporum platycarpum Low Open Woodland","Barrier HWY 2.4 km WSW of Paratoo","","Y"
"26","RVPO77858-347900","RVPO77858-347900","RV","",2004-02-29,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","101-250m",54,375879,6224694,-34.1112244,139.654233,"verification required","Eucalyptus socialis (NC)","MYRTACEAE","Beaked Red Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus socialis  +/ - E. gracilis +/- Myoporum platycarpum Mallee","Morgan - Blanchetown RD 1.7 km WNW of Wombats Rest","","Y"
"27","RVPU11061-5634","RVPU11061-5634","RV","",1998-11-18,"D","Day","CLARK P.D. Peter | BEVAN K. Kirsty","present but not counted","","251-500m",53,569643,6284793,-33.57428336,135.7504071,"verification required","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus calycogona / E. brachycalyx Mallee","Elliston - Lock RD 1 km SSW of Lock","","Y"
"28","OPP825902-1","OPP825902-1","OP","AMLR THREATENED FLORA ECOLOGIST-GENERAL",2017-11-03,"D","Day","MCKERRAL H. Helen | DAVIS L. Leo | CHESSON C. Claire | CHESSON C. Clive","7","","0-5m",54,291983,6087797,-35.33144,138.71134,"verified","Caleana major","ORCHIDACEAE","Large Duck-orchid","Status = 2F  5B; B  of P. minor at same site.","","Area 4: at site adjacent to Finnis River.","Cox Scrub (CP)","Y"
"29","RVPO63474-271500","RVPO63474-271500","RV","",2002-04-04,"D","Day","KUBISCH R.V. Ronald | BATEMAN T.V. Teresa","present but not counted","","501-1000m",54,309261,6188583,-34.42664258,138.9242872,"verification required","Allocasuarina verticillata","CASUARINACEAE","Drooping Sheoak","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus leucoxylon ssp. Open Woodland","Branson RD 3.4 km NNE of Nain","","Y"
"30","OPP178472-1512100","OPP178472-1512100","OP","WAITE CONSERVATION RESERVE",2002-09-02,"D","Day","BUSHMAN W.H. Waldo","present but not counted","","5-50m",54,284631,6126952,-34.97711,138.64072,"verified","Gonocarpus elatus","HALORAGACEAE","Hill Raspwort","With Lomandra densiflora.","","Waite Conservation Reserve. In Heritage Agreement 1262. Tank Ridge on upper NW-facing slope roughly 50 m ENE of tank.","1262 (HA)","Y"
"31","SUP17046-44687","SUP17046-44687","SU","NORTH WESTERN EYRE PENINSULA",1999-10-13,"D","Day","CARRUTHERS S.M. Sandy | KENNY S.D. Sue","present but not counted","","51-100m",53,541674,6299909,-33.43941,135.44835,"verified","Ptilotus spathulatus","AMARANTHACEAE","Pussy-tails","","","From Warramboo  head south for 22.7 km. Take Elliston turn off. At 14.3 km there is main intersection  keep heading west. Note grid across road. Continue for 2.9 km and should reach a second grid. Site is 5 km from first grid or 2.1 km from second grid. Head into site from road and jump fence hea","","Y"
"32","OPP549898-6","OPP549898-6","OP","MONARTO RESTORATION PROJECT - SURVEY",2012-06-01,"M","Month","HORNER B. Briony","present but not counted","","101-250m",54,331607,6113233,-35.10967,139.15227,"verified","Lepidosperma viscidum","CYPERACEAE","Sticky Sword-sedge","Number observed = 35","","Site 3 - 10.6ha","","Y"
"33","OPP799227-24","OPP799227-24","OP","BDBSA RESERVES DATABASE",1990-07-12,"D","Day","ASHMAN G.W. Glyn | LEHMAN K. Kay","present but not counted","","1-10km",54,418650,6141643,-34.86431,140.10999,"verified","Hibbertia riparia (NC)","DILLENIACEAE","Guinea-flower","","**birds** suitable for chestnut quailthrush malleefowlstriped honeyeaterwhite-winged chough crested bellbirdgrey currawongmallee ringneckpurple-gaped honeyeateryellow-rumped pardalotespendid **Environmental Association**36%(Billiatt)**Hundred**5","CHESSON : 5","671 (HA)","Y"
"34","SUP13306-26-AD99742031","SUP13306-26-AD99742031","SU","SOUTHERN EYRE PENINSULA",1995-10-12,"D","Day","DAVIDSON L.G. Lee | HEARD L.M.B. Lee","present but not counted","AD99742031","5-50m",53,561088,6237543,-34.00094,135.6615,"verified","Acrotriche cordata","EPACRIDACEAE","Blunt-leaf Ground-berry","","","Travel 800m from intersection.","","Y"
"35","OPP673888-1","OPP673888-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-04-09,"D","Day","BROWN R.M. Bec (Rebecca) | ANDERSON T. Tim","1","","5-50m",53,720375,6130758,-34.94175,137.41307,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Flaherty''s Corner; Boxthorn control site - aerial application of Graslan herbicide","","N"
"36","RVPO3047-13223","RVPO3047-13223","RV","",1997-12-17,"D","Day","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","present but not counted","","501-1000m",54,323529,6147979,-34.79514067,139.0710255,"verification required","Dactylis glomerata","GRAMINEAE","Cocksfoot","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed grassland dominated by alien grass species","Mc Gormans RD 3 km NNE of Tungkillo","","N"
"37","OPP546891-153","OPP546891-153","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2012-06-06,"D","Day","PICKETT M.I. Marcus","present but not counted","","101-250m",54,300500,6158500,-34.69609,138.82195,"verified","Lythrum hyssopifolia","LYTHRACEAE","Lesser Loosestrife","","","7 km WSW of Williamstown","Para Wirra (CP)","Y"
"38","RVPO11424-43361","RVPO11424-43361","RV","",1998-11-20,"D","Day","PLAYFAIR R.M. Roger | PARRY K. Karen","present but not counted","","1-10km",53,767774,6396209,-32.5392115,137.8512435,"verification required","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Maireana pyramidata Low Shrubland","Port Augusta - Port Wakefield RD 2.1 km NNE of Port Paterson","","N"
"39","RVPO46943-201824","RVPO46943-201824","RV","",2001-11-14,"D","Day","CLARK P.D. Peter","present but not counted","","101-250m",54,280519,6260899,-33.76929777,138.6299697,"verification required","Chamaecytisus palmensis","LEGUMINOSAE","Tree Lucerne","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Blockers (86) RD 3.6 km SSE of Barinia","","N"
"40","RVPO91383-413119","RVPO91383-413119","RV","",2009-03-12,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","101-250m",53,748573,6221998,-34.11333432,137.6949164,"verification required","Bromus sp.","GRAMINEAE","Brome","Collected using the DEWNR Roadside Vegetation Survey Methodology","Pittosporum angustifolium +/- A. hakeoides +/- A. ligulata +/- Geijera linearifolia +/- Nitraria billardierei +/- Olearia axillaris Tall Shrubland","Unknown RD 6.2 km WSW of Cunliffe","","Y"
"41","RVPO73777-326739","RVPO73777-326739","RV","",2004-01-12,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","251-500m",54,265127,6199665,-34.31771041,138.4474179,"verification required","Brassica sp.","CRUCIFERAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa / E. brachycalyx Mallee","Pinery-Long Plains Road (39) RD 1.3 km WSW of Pinery","","N"
"42","OPP800658-53","OPP800658-53","OP","BDBSA RESERVES DATABASE",1987-02-25,"D","Day","HODDER M.W. Mike | CROFT T.S. Tim","present but not counted","","251-500m",54,430389,5873156,-37.28559,140.2147,"verified","Stenanthera conostephioides","EPACRIDACEAE","Flame Heath","","","Formerly SF3 Konetta NFR","Konetta (NF)","Y"
"43","SUP27034-218794","SUP27034-218794","SU","EYRE PENINSULA FAUNA",2005-09-27,"D","Day","CANTY P.D. Peter | LANG P.J. Peter","present but not counted","","5-50m",53,339904,6471691,-31.87932,133.30738,"verified","Olearia muelleri","COMPOSITAE","Mueller's Daisy-bush","","","PP 162. Site approx. 90 m on 268 degrees bearing from WPT CHA11T. Eucalyptus oleosa E. gracilis open mallee over Eremophila. wedii Acacia. merrallii Eremophila glabra and dense Westringia rigida. Digging hard.","619 (HA)","Y"
"44","RVPU10773-5306","RVPU10773-5306","RV","",1998-11-18,"D","Day","CLARK P.D. Peter | BEVAN K. Kirsty","present but not counted","","251-500m",53,558886,6283986,-33.58220865,135.6345603,"verification required","Danthonia sp. (NC)","GRAMINEAE","Wallaby-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa ssp. oleosa Mallee","Elliston - Lock RD 11.4 km WSW of Lock","","Y"
"45","OPP693510-1","OPP693510-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2016-04-15,"D","Day","BARR M. Max | ANDERSON T. Tim","Present but not counted","","5-50m",53,677275,6112711,-35.11285,136.94525,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","PM''s; Boxthorn control site - aerial application of Graslan herbicide","1309 (HA)","N"
"46","RVPO91446-413399","RVPO91446-413399","RV","",2009-03-12,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","101-250m",53,749802,6213856,-34.186383,137.7105755,"verification required","Eucalyptus phenax ssp.","MYRTACEAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis +/- E. brachycalyx +/- E. incrassata +/- E. oleosa +/- E. phenax +/- E. socialis +/- Callitris gracilis Mallee Woodland","Bowdens RD 4.4 km SSW of Agery","","Y"
"47","RVPO86576-392179","RVPO86576-392179","RV","",2008-05-08,"D","Day","O'NEILL S. Sally | FRAZER D.S. Deb","present but not counted","","251-500m",54,294157,6297283,-33.44412384,138.7855435,"verification required","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Avena barbata +/-Austrostipa sp. +/-Austrodanthonia sp. +/-Enneapogon sp. Grassland +/-Atriplex sp. Grassland","Willalo RD 0.9 km WSW of Willalo","","Y"
"48","OPP55550-1799902","OPP55550-1799902","OP","PAMS - PARK ASSET DATABASE",2002-01-31,"D","Day","QUARMBY J. Joe","present but not counted","","501-1000m",54,279320,6120263,-35.03624,138.58081,"verified","Scaevola albida","GOODENIACEAE","Pale Fanflower","General Comment= Survey Point 219; Reserve type= RP; Reserve Code= 16; PAMS_PARK_ID= 239; Age class= mature; Braun-Blanquet= 2; Location= central - SA Planning;Location_C= M5; Date_Stamp= 31-Jan-02;","","","Sturt Gorge (RP)","Y"
"49","SUP10417-47","SUP10417-47","SU","FLINDERS MANAGEMENT REVIEW",1988-05-09,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,342373,6637478,-30.38439,139.35942,"verified","Cymbopogon ambiguus","GRAMINEAE","Lemon-grass","","","","","Y"
"50","RVPO8879-31048","RVPO8879-31048","RV","",1998-11-10,"D","Day","CLARK P.D. Peter | BEVAN K. Kirsty","present but not counted","","251-500m",53,538262,6212057,-34.23186377,135.4154607,"verification required","Hordeum vulgare ssp. (NC)","GRAMINEAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Melaleuca halmaturorum ssp. halmaturorum Shrubland","Flinders HWY 1.6 km SSE of Mount Drummond","","N"
"51","RVPO71567-315804","RVPO71567-315804","RV","",2003-09-30,"D","Day","BIRCHMORE N.J. Neal","present but not counted","","501-1000m",54,278645,6192298,-34.38706197,138.5923131,"verification required","Bromus diandrus (NC)","GRAMINEAE","Great Brome","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Herbland contains exotic and native spp.","Brady RD 4.7 km SSE of Barabba","","N"
"52","OPP800502-42","OPP800502-42","OP","BDBSA RESERVES DATABASE",1986-11-01,"T","Decade","OVERTON B.M. Bev","present but not counted","","1-10km",54,235319,6026818,-35.86714,138.06858,"verified","Hibbertia sericea var. sericea (NC)","DILLENIACEAE","Silky Guinea-flower","","","","Lesueur (CP)","Y"
"53","SUP3910-10","SUP3910-10","SU","MURRAY MALLEE",1990-07-16,"D","Day","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","5-50m",54,422272,6068028,-35.52832,140.14267,"verified","Allocasuarina muelleriana ssp. muelleriana","CASUARINACEAE","Common Oak-bush","","","3.5 km SW from One Tree Hill.","464 (HA)","Y"
"54","OPP427453-31","OPP427453-31","OP","ACRIS BIMBOWRIE BIO MON TRIAL",2012-11-07,"D","Day","ROBINSON A.C. Tony | TURNER J. Jean","present but not counted","","5-50m",54,423448,6457312,-32.01773,140.1894,"verified","Eragrostis sp.","GRAMINEAE","Love-grass","","","Bimbowrie Conservation Reserve. Refer to project #716 for location and physical information of this site.","Bimbowrie (CP)","Y"
"55","OPP472553-1","OPP472553-1","OP","KANGAROO ISLAND WEEDS REGISTER",2009-06-01,"D","Day","KANGAROO ISLAND - DEWNR K.I. DEWNR","present but not counted","","5-50m",53,723885,6029538,-35.85282,137.47924,"verified","Asparagus declinatus","LILIACEAE","","","","","","N"
"56","RVPU88495-143160","RVPU88495-143160","RV","",2008-09-03,"D","Day","LATTANZIO S Serina | OBST C.S. Chris","present but not counted","","251-500m",54,441762,5981734,-36.30763893,140.3513063,"verification required","Dactylis glomerata","GRAMINEAE","Cocksfoot","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis Open Woodland","Riddoch Highway HWY 9.4 km NNE of Willalooka","","N"
"57","SUP8193-84","SUP8193-84","SU","RARE RODENTS PROJECT",1993-12-01,"D","Day","BRANDLE R. Robert","present but not counted","","5-50m",54,401564,6747291,-29.3998,139.98546,"verified","Acacia salicina","LEGUMINOSAE","Willow Wattle","","","Montecollina Bore. AMG updated 5/4/05.","","Y"
"58","SUP21471-146077","SUP21471-146077","SU","SANDY DESERT",2004-05-04,"D","Day","MCDONALD J.T. John | THIESSEN J.H. James","present but not counted","","5-50m",52,615007,6746882,-29.40208,130.18534,"verified","Acacia gilesiana","LEGUMINOSAE","Giles' Wattle","","","7.9 km from Tjuntjunjarra - Oak Valley Road intersection heading south towards Cook. Use GPS to locate sites.","","Y"
"59","RVPO10549-38880","RVPO10549-38880","RV","",1998-11-12,"D","Day","HYDE M.K. Michael | MALLEN N. Nigel","present but not counted","","501-1000m",54,257519,6320556,-33.22675751,138.3979675,"verification required","Callitris gracilis","CUPRESSACEAE","Southern Cypress Pine","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia victoriae Tall shrubland","Warnertown-Jamestown HWY 6.2 km NNE of Gladstone","","Y"
"60","SUP15727-2","SUP15727-2","SU","COASTAL DUNE & CLIFFTOP",1997-09-16,"D","Day","KENNY S.D. Sue | OPPERMANN A.M. Alison","present but not counted","","51-100m",53,729481,6161894,-34.65922,137.50419,"verified","Olearia axillaris","COMPOSITAE","Coast Daisy-bush","","","Drive to Port Rickaby road north of caravan park leads to beach. Along beach for short way. Track back up into sand hills then along coast. First track Y intersection turn east. Continue until gate in south property. Turn west along fence to rough gate. Follow through south and veer west to clearing","","Y"
"61","OPP801422-51","OPP801422-51","OP","BDBSA RESERVES DATABASE",2001-06-20,"D","Day","WINTER S.K. Sybille","present but not counted","","101-250m",54,318972,6171365,-34.58358,139.02626,"verified","Cynosurus echinatus","GRAMINEAE","Rough Dog's-tail Grass","","","","1270 (HA)","N"
"62","RVPO43594-189203","RVPO43594-189203","RV","",2001-10-02,"D","Day","MARCHANT E.K.M. Emily | DEGARIS M.B. Mark","present but not counted","","1-10km",54,487527,5807650,-37.87855486,140.8581727,"verification required","Avena fatua","GRAMINEAE","Wild Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology"," Grassland dominated by exotic species","Lange RD 2.5 km ESE of Yahl","","N"
"63","OPP707060-1","OPP707060-1","OP","BUFFEL GRASS CONTROL IN ARID RANGELANDS",2010-05-14,"D","Day","RURAL SOLUTIONS - -","present but not counted","","5-50m",53,570350,6575797,-30.94919,135.73651,"verified","Cenchrus ciliaris","GRAMINEAE","Buffel Grass","DENSITY = Low","","","","N"
"64","RVPO51080-220396","RVPO51080-220396","RV","",2001-12-18,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","51-100m",54,276437,6260798,-33.7693606,138.5859026,"verification required","Trifolium sp.","LEGUMINOSAE","Clover","Collected using the DEWNR Roadside Vegetation Survey Methodology","Non-endemic Native sp. Plantation","Black Rock - Clare Rd. RD 1.8 km NNW of Stanley Flat","","N"
"65","SUP8582-27-AD99445075","SUP8582-27-AD99445075","SU","SOUTH OLARY PLAINS",1991-08-14,"D","Day","PEACOCK D.E. David | NICOLSON K.P. Kym","present but not counted","AD99445075","5-50m",54,488222,6402178,-32.51764,140.8746,"verified","Rytidosperma setaceum","GRAMINEAE","Small-flower Wallaby-grass","","","0.7 km SW from Black Hill Dam.","","Y"
